date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2015-06-30,600029,600115,002024,601919,600030,601318,600109,600398,600010,600519,601766,000651,601601,601628,000538,000728,600276,002252,601788,601888
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2015-07-31,600115,600029,002024,601111,601919,601628,601788,600837,601601,600999,600030,002252,600109,000783,600061,600369,600519,600276,600893,300033
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2015-08-31,002024,600115,600029,601628,601111,002252,000963,601601,600999,600837,601788,600030,600050,600061,600519,000783,600369,000538,600109,600276
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2015-09-30,002024,600029,601628,601601,600115,600999,601111,000963,600837,600276,000783,600061,600030,601788,600271,600519,600050,601888,000538,600109
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2015-10-30,600029,600115,002024,601601,601111,600299,601628,600109,600276,600704,600519,600663,601788,600030,000783,300033,600061,600837,000538,002252
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2015-11-30,600029,600115,601601,600704,601111,601788,002024,601628,600030,600299,600109,600519,300033,600061,600837,600276,000783,600663,601318,600050
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2015-12-31,600029,600115,601601,601111,601919,002024,601788,600030,601628,600109,600299,600519,002202,600837,000783,600663,000538,600276,600061,601318
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2016-01-29,600297,601601,600893,601318,601766,600276,601600,600115,600340,600887,601111,000538,600519,600029,300033,000963,000063,002252,002304,002202
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2016-02-29,601601,601318,600297,600893,600340,600519,600276,601600,600029,000063,002252,600887,600115,000963,601766,601111,600066,600415,300033,600688
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2016-03-31,601601,601318,600276,600893,600519,300033,600297,600887,600115,600029,601766,600340,601600,000963,600688,600030,002252,601727,002304,601186
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2016-04-29,600519,600547,600276,600489,600688,600028,600115,600887,002304,300033,300017,000768,000538,601318,600362,000895,000858,600019,601888,600606
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2016-05-31,600519,600115,600276,600688,600028,000538,600547,000895,002304,600489,600887,000858,600029,300017,002311,300033,000768,600362,601111,002024
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2016-06-30,600519,600547,600115,600887,600489,600276,600688,002304,600029,300033,600028,000538,000858,000768,000895,300017,601111,002311,000063,600362
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2016-07-29,600547,600519,600489,600887,601600,600276,600688,601318,300017,000858,000002,600690,600900,002304,000895,000768,600309,002010,000963,600085
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2016-08-31,600547,600519,600489,000002,600887,601600,600276,600688,000963,601318,300017,000858,000768,002304,002010,000895,600900,600309,000938,601601
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2016-09-30,600547,600519,000002,601600,600309,600489,000963,300017,600688,600276,601318,000858,000651,600900,002010,000768,002304,000895,600085,000938
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2016-10-31,600547,000002,600887,600519,600019,600276,600309,601600,600029,600489,600115,002304,600688,000963,300017,600383,000768,000858,600031,300033
