,pe_ratio,pb_ratio,market_cap,report_date,ors,npgr,roic,pe_ratio_score,pb_ratio_score,market_cap_score,report_date_score,ors_score,npgr_score,roic_score
000403.SZ,71.3953,11.1977,53.3434,2015-09-30,123990784.0,-43.5400009155,0.2790000141,8,10,4,8,9,8,4
000404.SZ,23.9126,1.8825,40.3489,2015-09-30,1485028992.0,12.9099998474,0.9110000134,5,2,2,8,3,4,2
000407.SZ,139.4527,2.9573,52.7127,2015-09-30,528647744.0,-48.25,0.0329999998,9,5,4,8,6,8,6
000408.SZ,-50.4405,24.2617,31.8909,2015-09-30,13141026.0,89.8799972534,0.0460000001,2,10,1,8,10,2,6
000409.SZ,-32.7101,3.499,34.4605,2015-09-30,538125248.0,5.2800002098,-0.2290000021,2,6,2,8,6,5,9
000410.SZ,-58.8708,6.0768,147.5062,2015-09-30,1324194560.0,-2891.1999511719,-2.5499999523,2,8,8,8,4,10,10
000411.SZ,53.335,5.5864,35.9926,2015-09-30,3943564032.0,5.6500000954,-3.746999979,7,8,2,8,2,5,10
000413.SZ,22.5006,3.0863,203.9153,2015-09-30,860590464.0,30.6599998474,0.3429999948,4,5,9,8,4,3,3
000415.SZ,23.5786,2.4799,255.1448,2015-09-30,2497679104.0,38.7799987793,1.8409999609,5,4,9,8,2,3,1
000416.SZ,37.1084,4.6855,40.9009,2015-09-30,90629240.0,-195.8800048828,-0.0480000004,6,7,3,8,9,9,7
000417.SZ,21.2445,2.036,66.9921,2015-09-30,2063732736.0,-24.6700000763,0.3610000014,4,3,5,8,3,7,3
000419.SZ,24.7791,2.0022,37.6159,2015-09-30,963952768.0,8.220000267,-0.1169999987,5,3,2,8,4,5,8
000420.SZ,-46.6735,4.2565,42.2796,2015-09-30,229320016.0,-91.1600036621,-0.0109999999,2,7,3,8,8,9,7
000421.SZ,44.0645,1.9977,43.4066,2015-09-30,842683712.0,-35.8100013733,0.5960000157,6,3,3,8,4,7,2
000422.SZ,248.3625,0.9559,58.7205,2015-09-30,5162868224.0,86.2200012207,3.9749999046,10,1,5,8,1,2,1
000423.SZ,18.6766,4.2292,283.1913,2015-09-30,1237582080.0,22.3899993896,0.25,4,7,9,8,4,4,4
000425.SZ,-73.3565,1.4252,302.4991,2015-09-30,3546854144.0,-98.6900024414,0.0340000018,2,1,10,8,2,9,6
000426.SZ,132.1888,2.3241,63.9925,2015-09-30,180641648.0,-87.1699981689,-0.0240000002,9,3,5,8,8,9,7
000428.SZ,-413.7502,3.418,54.207,2015-09-30,287774528.0,347.200012207,0.3030000031,1,6,4,8,7,1,3
000429.SZ,18.8019,1.3375,70.0215,2015-09-30,410958624.0,30.6599998474,0.6470000148,4,1,5,8,6,4,2
000430.SZ,37.9061,6.2788,33.9444,2015-09-30,263203520.0,101.6500015259,0.5720000267,6,8,2,8,7,2,3
000498.SZ,20.2948,2.4776,68.6645,2015-09-30,1670612480.0,45.6800003052,-0.174999997,4,4,5,8,3,3,8
000501.SZ,12.3298,2.3511,89.564,2015-09-30,3885956096.0,14.1400003433,1.0230000019,3,3,6,7,2,4,1
000502.SZ,-1284.9148,16.9575,33.6557,2015-09-30,3216089.5,-161.1799926758,0.0719999969,1,10,2,7,10,9,5
000503.SZ,-812.731,17.9253,230.9074,2015-09-30,38039148.0,-4103.7099609375,-0.1700000018,1,10,9,7,10,10,8
000504.SZ,-182.9736,-1691.835,44.742,2015-09-30,4356273.5,21.2800006866,-0.0460000001,1,1,3,7,10,4,7
000505.SZ,-41.833,-35.6629,31.4085,2015-09-30,52075048.0,71.2300033569,0.349999994,2,1,1,7,10,3,3
000506.SZ,-67.5613,4.6938,65.9603,2015-09-30,77102328.0,79.4300003052,-0.0890000015,2,7,5,7,9,2,8
000507.SZ,51.2833,1.9376,48.162,2015-09-30,582501312.0,286.7099914551,0.2779999971,7,2,3,8,5,1,4
000509.SZ,-106.1183,226.0422,49.4464,2015-09-30,39059224.0,-328.0,-0.0500000007,1,10,4,8,10,10,7
000510.SZ,-28.7945,7.0919,47.0898,2015-09-30,428159680.0,-6.4800000191,0.0040000002,2,9,3,8,6,6,6
000513.SZ,37.305,4.981,211.1043,2015-09-30,1771334272.0,17.0400009155,1.442999959,6,7,9,8,3,4,1
000514.SZ,-523.2306,1.9971,55.0982,2015-09-30,414067488.0,-79.8199996948,-0.063000001,1,3,4,7,6,9,7
