date,open,high,low,close,volume,openinterest
20141204,14.3833,14.5115,14.0069,14.4114,401372.07,
20141205,14.4995,14.984,14.039,14.2192,465650.38,
20141208,14.039,15.2563,13.8588,15.028,431796.83,
20141209,14.7718,15.7528,13.5344,13.9349,708447.97,
20141210,14.2392,15.004,14.035,14.8598,459329.35,
20141211,14.7357,15.5366,14.6156,14.8558,385520.9,
20141212,14.8959,15.3324,14.6997,14.7998,268371.4,
20141215,14.9479,15.0881,14.4634,14.7157,325234.85,
20141216,14.6156,14.8198,14.4034,14.6396,344373.26,
20141217,14.6636,14.7197,14.2952,14.5155,335036.81,
20141218,14.5515,15.1281,14.4354,14.992,463616.1,
20141219,14.8518,14.972,14.5195,14.7758,340753.52,
20141222,14.8158,15.028,14.4955,14.7958,380538.64,
20141223,14.7557,15.6887,14.6156,15.2362,517799.91,
20141224,15.2162,15.4565,14.4474,14.8438,346536.63,
20141225,15.1361,15.4164,14.5115,14.8238,322123.04,
20141226,14.7677,15.1041,14.5395,15.048,343954.41,
20141229,15.016,15.3283,14.3353,14.4114,587115.68,
20141230,14.4354,14.7317,14.0149,14.3153,353680.13,
20141231,14.2752,14.8879,14.2552,14.8639,386570.4,
20150105,15.1762,16.3494,15.1762,16.3374,1072447.46,
20150106,16.1292,17.3585,16.0972,16.6858,866480.02,
20150107,16.5176,16.8179,16.2573,16.6578,387004.88,
20150108,16.6978,17.0141,16.3094,16.7138,448544.71,
20150109,16.7098,17.0902,16.1933,16.4175,357976.97,
20150112,16.3374,16.9581,16.1012,16.898,444472.34,
20150113,16.7859,17.7069,16.6578,17.6588,404490.23,
20150114,17.6588,17.6989,17.0141,17.0622,312973.98,
20150115,16.9981,17.4626,16.6578,17.3946,228382.11,
20150116,17.4186,17.5227,17.0222,17.1703,207802.82,
20150119,16.4936,16.8059,15.4525,16.0291,415596.87,
20150120,16.5376,17.3465,16.2493,17.3465,497368.14,
20150121,17.6188,17.6989,17.0902,17.5868,357792.77,
20150122,17.5507,17.795,17.2184,17.2864,253681.55,
20150123,17.3185,17.4987,17.0582,17.2224,253931.51,
20150126,17.3745,17.4346,17.1383,17.2504,211869.41,
20150127,17.2184,17.3345,16.5577,16.8219,344458.76,
20150128,16.6978,16.8259,16.2814,16.4936,283796.87,
20150129,16.1372,16.4856,16.1372,16.2694,239332.2,
20150130,16.3374,16.5857,16.1372,16.1773,276954.17,
20150202,15.925,16.2173,15.7888,15.8249,273442.65,
20150203,16.0171,16.0932,15.6927,15.937,267158.74,
20150204,15.977,16.2373,15.7888,15.8089,218320.16,
20150205,16.2253,16.3214,15.6167,15.6167,326796.75,
20150206,15.6167,15.7768,15.2403,15.4164,199354.9,
20150209,15.5366,15.937,15.4525,15.6367,198939.82,
20150210,15.7168,15.9971,15.6407,15.949,232982.54,
20150211,15.981,16.0852,15.8809,15.937,194730.0,
20150212,15.953,15.977,15.4965,15.6567,241446.54,
20150213,15.7007,15.8369,15.5566,15.6887,311923.01,
20150216,15.6927,15.7288,15.4164,15.5085,357889.19,
20150217,15.5726,16.6978,15.5165,16.4135,562110.23,
20150225,16.4535,16.7619,16.1813,16.5056,400635.3,
20150226,16.5096,16.5096,16.1773,16.3855,305288.17,
20150227,16.4135,16.4976,16.1773,16.2293,273601.14,
20150302,16.2453,16.7258,16.2413,16.5897,327083.01,
20150303,16.4816,16.5617,15.8929,15.941,353891.85,
20150304,15.981,16.6177,15.921,16.2573,616342.52,
20150305,16.0972,16.1773,15.5005,15.7368,450673.38,
20150306,15.7408,15.7608,15.3804,15.4525,271052.27,
20150309,15.2963,15.8049,15.02,15.7088,370882.07,
20150310,15.4285,15.6527,15.4285,15.5486,261318.04,
20150311,15.5566,16.1372,15.5566,15.7888,363379.62,
20150312,15.8209,15.917,15.5526,15.8289,286649.67,
20150313,15.933,16.1652,15.8489,15.985,256665.67,
20150316,16.1292,16.4896,15.985,16.4215,389147.92,
20150317,16.4175,16.5737,16.2613,16.4375,412867.54,
20150318,16.4415,16.838,16.3574,16.8259,496249.42,
20150319,17.835,18.0272,16.9701,17.1062,785388.39,
20150320,17.2184,17.6028,16.89,16.9341,578324.85,
20150323,17.0061,17.3505,17.0061,17.1263,435247.31,
20150324,17.1623,17.3225,16.7979,16.89,517980.45,
20150325,16.918,16.9381,16.5977,16.7419,427591.01,
20150326,16.6578,16.9381,16.3534,16.7499,412000.13,
20150327,16.7499,17.5908,16.7379,17.2584,637277.02,
20150330,17.3185,17.8831,17.3185,17.779,543167.81,
20150331,18.2595,18.6199,17.3025,17.5307,731927.85,
20150401,17.5307,18.0032,17.5307,17.8991,452995.29,
20150402,18.0112,18.0192,17.3025,17.7509,532993.67,
20150403,17.5787,17.6829,17.4266,17.6148,401686.58,
20150407,17.6348,17.775,17.5027,17.7669,566270.33,
20150408,17.8831,18.1313,17.7029,18.0633,649151.1,
20150409,18.1193,18.1594,17.3785,17.6188,477775.67,
20150410,17.6148,18.0192,17.4987,17.9632,517323.35,
20150413,18.0753,18.5878,17.795,17.9912,1003635.46,
20150414,17.9632,17.9672,17.5027,17.6108,623287.35,
