===============================================================================
Id,2006-day-001,len,datetime,open,high,low,close,volume,openinterest,LongShortStrategy,len,datetime,CrossOver,len,crossover,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
99,2006-day-001,99,2006-05-23 23:59:59.999989,3541.56,3637.39,3541.56,3620.28,0.0,0.0,LongShortStrategy,99,732454.9999999999,CrossOver,99,0.0,Broker,99,100228.99999999999,100228.99999999999,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,2006-day-001,100,2006-05-24 23:59:59.999989,3617.11,3617.11,3542.93,3574.86,0.0,0.0,LongShortStrategy,100,732455.9999999999,CrossOver,100,0.0,Broker,100,100228.99999999999,100228.99999999999,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,2006-day-001,101,2006-05-25 23:59:59.999989,3579.36,3635.0,3555.18,3635.0,0.0,0.0,LongShortStrategy,101,732456.9999999999,CrossOver,101,0.0,Broker,101,100228.99999999999,100228.99999999999,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,2006-day-001,102,2006-05-26 23:59:59.999989,3647.15,3699.8,3646.42,3699.8,0.0,0.0,LongShortStrategy,102,732457.9999999999,CrossOver,102,0.0,Broker,102,100228.99999999999,100228.99999999999,BuySell,102,,,Trades - Net Profit/Loss,102,,
103,2006-day-001,103,2006-05-29 23:59:59.999989,3696.48,3696.48,3677.02,3679.57,0.0,0.0,LongShortStrategy,103,732460.9999999999,CrossOver,103,0.0,Broker,103,100228.99999999999,100228.99999999999,BuySell,103,,,Trades - Net Profit/Loss,103,,
104,2006-day-001,104,2006-05-30 23:59:59.999989,3677.67,3683.3,3581.65,3590.91,0.0,0.0,LongShortStrategy,104,732461.9999999999,CrossOver,104,0.0,Broker,104,100228.99999999999,100228.99999999999,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,2006-day-001,105,2006-05-31 23:59:59.999989,3581.8,3641.83,3542.41,3637.17,0.0,0.0,LongShortStrategy,105,732462.9999999999,CrossOver,105,0.0,Broker,105,100228.99999999999,100228.99999999999,BuySell,105,,,Trades - Net Profit/Loss,105,,
106,2006-day-001,106,2006-06-01 23:59:59.999989,3634.82,3652.84,3595.27,3648.33,0.0,0.0,LongShortStrategy,106,732463.9999999999,CrossOver,106,1.0,Broker,106,100228.99999999999,100228.99999999999,BuySell,106,,,Trades - Net Profit/Loss,106,,
107,2006-day-001,107,2006-06-02 23:59:59.999989,3656.43,3688.89,3622.96,3636.89,0.0,0.0,LongShortStrategy,107,732464.9999999999,CrossOver,107,0.0,Broker,107,98031.59999999999,100031.59999999999,BuySell,107,3568.6156,,Trades - Net Profit/Loss,107,,
108,2006-day-001,108,2006-06-05 23:59:59.999989,3636.83,3638.59,3592.71,3604.33,0.0,0.0,LongShortStrategy,108,732467.9999999999,CrossOver,108,-1.0,Broker,108,97705.99999999999,99705.99999999999,BuySell,108,,,Trades - Net Profit/Loss,108,,
